hotCode;Date;ObsDate;Chv;Clx;Sel;Libres;Construites;Ca;CaH;To;Pm;revpz;Gt;Te;Ant;Ds
2RL;2022-01-05;2021-12-26;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2021-12-27;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2021-12-28;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2021-12-29;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2021-12-30;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2021-12-31;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2022-01-01;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2022-01-02;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2022-01-03;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2022-01-04;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-05;2022-01-05;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-06;2021-11-07;0;0;0;51;51;0;0;0;0;0;0;0;;
2RL;2022-01-06;2021-11-08;0;0;0;51;51;0;0;0;0;0;0;0;;
