day_of_year;Seasonal
183;-9.056627959533817
184;-12.097097043079469
185;-14.72429531588829
186;-11.168359060900915
187;-13.110957146504802
188;-11.214809710749403
189;-15.879984743858277
190;-8.01888753214598
191;-3.403193633497901
192;-6.285716899481525
193;-7.239741319868539
194;0.40606176627547064
195;4.142777647839453
196;-9.13757466893836
197;-15.877107704974538
198;-8.152888324215354
199;-3.253976439748646
200;-14.1099207575701
201;-14.301411227569517
202;3.253496323971227
203;-3.824358363698397
204;-9.978503064875566
205;-6.547600825015129
206;0.5722372033235085
207;4.013360991121503
208;-1.3010641961308003
209;7.387385328807444
210;2.5763290475907508
211;0.6489809871865003
212;13.259377798586822
213;5.00392850855806
214;-0.2756606881736125
215;3.5915257904554876
216;14.226393077478026
217;9.704386375891186
218;9.585964248578302
219;22.795914590877167
220;23.891678199063392
221;8.473846880734499
222;19.108555794229524
223;6.8551945240993994
224;3.5963743697335464
225;4.16330102411728
226;12.381681797183921
227;21.07009454394758
228;11.232701026284902
229;8.00947368080746
230;6.859571596752257
231;11.090552772967763
232;13.205077118305933
233;12.9050319603754
234;17.547126148181153
235;12.42033700300321
236;28.204713762974162
237;25.02857173186261
238;4.735196425435244
239;0.2163597232525161
240;5.764219643802002
241;1.7989534862870475
242;5.794212843411257
243;17.365531011015587
244;28.85213062311715
245;25.39329717993965
246;7.804097242863461
247;15.083602815050094
248;-5.716101656706831
249;-5.651857024988097
250;-8.75226031920489
251;-3.974830372895327
252;-10.49695005921249
253;-11.451106971501478
254;-2.762764135518351
255;7.854076175753656
256;1.2898640423678867
257;-6.118815071644506
258;-8.507935772881112
259;-18.140364109217945
260;-7.523539920143516
261;13.700033956066708
262;-11.368165104767598
263;-16.5075314274489
264;-1.4843314033623294
265;-2.6519846618564484
266;-12.284437425553515
267;-16.254372418584534
268;-2.043297642082608
269;-8.091337574005637
270;-16.727146414134076
271;-3.1482114412048787
272;-6.489472787192129
273;-13.93931761994274
274;-19.272550192980656
275;-17.582509100539546
276;-15.493531252883129
277;-19.49320740586399
278;-19.62019334002249
279;-18.412375457454946
280;-17.63982363650601
281;-15.201580667354513
282;-9.405408233317143
283;-13.90292754115983
284;-20.955126959084534
285;-19.01601238913687
286;-15.637041996032485
287;-18.371322007351726
288;-17.055781884706015
289;-7.402739470353303
290;-20.891722064252107
291;-18.95271840410782
292;-13.15673170812604
293;-15.074765189302946
294;-11.207314817625164
295;-16.982384923379694
296;-17.619164013353306
297;-15.033073811771851
298;-18.255942669777536
299;-15.01264120142494
300;-18.85944556157003
301;8.149745897625277
302;-14.98209027977102
303;-14.971932987366419
304;-5.319286193288521
305;19.761351702355437
306;4.343464469972975
307;-9.145935708532496
308;15.93466167688069
309;-12.982770190250097
310;4.383797584779506
311;-18.748160142694484
312;-16.809624505211204
313;-14.87110281900801
314;-7.14709348602542
315;-16.77960326427818
316;-9.05562219781576
317;2.5253457423257992
318;-12.892708427945282
319;-21.899494372404114
320;-14.175470968657393
321;-12.86294412081696
322;16.074456594131615
323;-7.057672381998684
324;-1.2623077124739641
325;-14.751963382947139
326;0.6858744811703943
327;-8.946809766836926
328;-19.06617934796679
329;-3.141715786860437
330;-6.988943187974154
331;16.16282222670376
332;6.530063182166056
333;-5.031211401225512
334;-10.179713124432995
335;0.773702930845928
336;10.425889692676497
337;-8.490105175486516
338;6.588212110072432
339;-20.040794831338758
340;-6.8920269392308215
341;-20.381920163353694
342;-10.729821040319372
343;-6.863237792055634
344;-14.567671947187177
345;-2.9871144446291393
346;-12.620076836081337
347;-16.10298815827781
348;-1.0300334447970538
349;-12.591536892958745
350;-6.796858917556199
351;-4.859192753332244
352;7.0873277285114815
353;10.953719770112402
354;23.611283248575777
355;29.890375070596843
356;17.029566827380012
357;21.561893190482657
358;14.489681388325426
359;14.498764814537799
360;2.9368348998269975
361;-10.553605515340283
362;-12.473052473572082
363;-14.392509257402597
364;12.615532552290125
365;-12.445950383162092
366;-16.65697137064841
